Id,videoView,totalVideoView,percent
54d1e9a593ada5bf333e9dce,504,25934,0.01943394771342639
54d19c3a93ada5bf333e820a,440,25934,0.01696614482918177
559d01c2b101450a5519631b,436,25934,0.01681190714891648
54cc72a0abc5bbb971f99bb2,411,25934,0.015847921647258425
5527ae4d966dbd3d467792c9,406,25934,0.015655124546926816
54d20b7bd44b23b007d17a46,369,25934,0.014228426004472893
54d1a22093ada5bf333e83c2,369,25934,0.014228426004472893
555f01cb8a4c250b3dfd99ce,307,25934,0.011837741960360916
54cb5ed980e029f750a75d3a,300,25934,0.01156782601989666
54d1ec2a93ada5bf333e9e34,293,25934,0.011297910079432405
