Id,videoView,totalVideoView,percent
54d1e9a593ada5bf333e9dce,923,47246,0.019536045379503028
54d19c3a93ada5bf333e820a,858,47246,0.018160267535876053
559d01c2b101450a5519631b,799,47246,0.01691148457012234
54cc72a0abc5bbb971f99bb2,1032,47246,0.021843118994200567
5527ae4d966dbd3d467792c9,581,47246,0.012297337340727257
54d20b7bd44b23b007d17a46,355,47246,0.007513863607501164
54d1a22093ada5bf333e83c2,829,47246,0.017546458959488635
555f01cb8a4c250b3dfd99ce,677,47246,0.014329255386699402
54cb5ed980e029f750a75d3a,533,47246,0.011281378317741184
54d1ec2a93ada5bf333e9e34,374,47246,0.007916014054099817
