Id,videoView,totalVideoView,percent
54d1e9a593ada5bf333e9dce,2369,159363,0.01486543300515176
54d19c3a93ada5bf333e820a,1282,159363,0.00804452727421045
559d01c2b101450a5519631b,3023,159363,0.01896927141180826
54cc72a0abc5bbb971f99bb2,2932,159363,0.01839824802494933
5527ae4d966dbd3d467792c9,3214,159363,0.0201677930259847
54d20b7bd44b23b007d17a46,705,159363,0.00442386250258843
54d1a22093ada5bf333e83c2,1173,159363,0.007360554206434367
555f01cb8a4c250b3dfd99ce,3620,159363,0.022715435828893783
54cb5ed980e029f750a75d3a,1131,159363,0.007097004950961014
54d1ec2a93ada5bf333e9e34,747,159363,0.004687411758061783
